service_name_en,service_name_fr,external_internal,service_type,service_description_en,service_description_fr,authority_en,authority_fr,program_name_en,program_name_fr,client_target_groups,cra_business_number,e_registration,e_authentication,e_application,e_decision,e_issuance,e_feedback,owner_org,fiscal_yr,service_id_number,special_designations,service_url_en,service_url_fr,program_id_code,service_fee,use_of_sin,online_applications,web_visits_info_service,calls_received,in_person_applications,email_applications,fax_applications,postal_mail_applications,client_feedback,special_remarks_en,Org Name,Service_Unique_Identifier,New_Service_ID,Edited_Service_Name_EN,Edited_Service_Name_FR
Enterprise Requested Delivery,Demandes de livraison en organisation,IN,HR,"When no calendar offerings exist to meet an organizational need due to scheduling or geography, client organizations may request an on-site and/or dedicated offering of an instructor-led product.","Lorsque l'offre de formation ne répond pas au besoin d'une organisation en raison du calendrier établi ou du lieu de la formation, l’organisation peut demander qu'une séance avec enseignant soit organisée, soit une séance dans ses bureaux ou une séance spéciale.",Canada School of Public Service Act,Loi sur l’École de la fonction publique du Canada,Learning Services,Services d'apprentissage,IG,NA,NA,NA,N,N,N,N,csps-efpc,2017-2018,2,8,NA,NA,P052-0009,N,NA,0,0,0,0,441,0,0,NONE,"There is no specific webpage where this service is described and/or accessed. The two steps, ""Account Registration / Enrollment"" and ""Authentication"", are not applicable because this service is automatically available for all client organizations of the School and it is a manually managed request process. The values shown for the number of applications are not fully representative of the true total number of applications received. Values will improve as processes for this service are standardized and improved.",Canada School of Public Service | École de la fonction publique du Canada,2017-2018-csps-efpc-2,csps-efpc - 02,csps-efpc - Enterprise Requested Delivery,
Old Age Security (OAS) Benefits,Prestations de la Sécurité de la vieillesse,EX,RES,"The Old Age Security (OAS) pension is a monthly payment available to most Canadians 65 years of age who meet the Canadian legal status and residence requirements. In addition to the Old Age Security pension, there are three types of Old Age Security benefits:  the Guaranteed Income Supplement, Allowance and Allowance for the Survivor. The OAS provides financial support to millions of seniors, including those that are low-income, each year.","La pension de la Sécurité de la vieillesse (SV) est une prestation mensuelle versée à la plupart des Canadiens âgés de 65 ans et plus qui satisfont aux exigences relatives au statut juridique et à la résidence au Canada. En plus de la pension de la Sécurité de la vieillesse, il existe trois types de prestations de la Sécurité de la vieillesse : le Supplément de revenu garanti, l'Allocation et l'Allocation au survivant. La SV verse chaque année un soutien financier à des millions d'aînés, incluant ceux à faible revenu.",Old Age Security Act,Loi sur la Sécurité de la vieillesse,Old Age Security,Sécurité de la vieillesse,PP,NA,Y,Y,N,Y,Y,N,esdc-edsc,2017-2018,3,7,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security.html,https://www.canada.ca/fr/services/prestations/pensionspubliques/rpc/securite-vieillesse.html,33-001-BGN01,N,Y,0,1900000,8062241,294577,0,0,499600,"EML,IP,ONL,TEL","Individual volumes for CPP, CPP-D and OAS telephone calls are not available as the service delivery model provides integrated support to callers on all pensions related enquiries.
This document does not offer the ability to report on automated applications. The OAS program has autoenrolled over 120,000 seniors in 2017-2018 for benefits to be received in 2018-2019.
Regarding Service Standard 3.2 of the Service Standard & Performance Results dataset:   Payment Accuracy Reviews (PAAR) are completed to identify undetected errors that may result in mis-payments (overpayments and underpayments). The business volumes are financially-based ($).
Regarding Service Standard 3.3 of the Service Standard & Performance Results dataset: The service target for calls (row 11), provided in column “L” of the service standards tab, is measured on an annual basis. Although we can provide performance data per quarter (see columns “O”, “Q”, “S” and “U” under the service standards tab), the annual target accommodates for quarterly fluctuations. Performance may therefore be misrepresentative when not presented as an aggregate.
Regarding Service Standard & Performance Results dataset, column M: Regarding Real-Time Performance Reporting, while the Department did not provide real-time performance reporting in FY 2017-18, real-time results for the Department’s main statutory programs are expected to be published on line beginning in Q4 2018-19.",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-03,esdc-edsc - 01,esdc-edsc - Old Age Security (OAS) Benefits,
Employment Insurance (EI) Benefits,Prestations d’assurance-emploi,EX,RES,"EI provides temporary financial assistance to unemployed Canadians who have lost their job through no fault of their own, while they look for work or upgrade their skills.
Canadians who are sick, pregnant, or caring for a newborn or adopted child, as well as those who must care for a family member who is seriously ill with a significant risk of death or who must provide care or support to their critically ill or injured child  family member may also be assisted by EI. The program also allows for self-employed individuals to register into it for access to EI special benefits (sickness, maternity, parental, compassionate care and parents of critically ill children family caregiver benefits).","L’assurance-emploi procure une aide financière temporaire aux Canadiens au chômage qui ont perdu leur emploi pour des raisons indépendantes de leur volonté, pendant qu’ils cherchent du travail ou améliorent leurs compétences. L’assurance-emploi vient également en aide aux travailleurs malades, aux femmes enceintes, aux parents qui s’occupent d’un nouveau-né ou d’un enfant adopté, aux personnes qui doivent s’occuper d’un membre de leur famille souffrant d’une maladie grave qui risque de causer son décès ainsi qu’aux parents qui doivent fournir des soins ou du soutien à leur enfant gravement malade ou blessé. Le programme permet également aux travailleurs indépendants de s'y inscrire pour avoir droit aux prestations spéciales de l'assurance-emploi (prestations de maternité, parentales, de compassion et celles destinées aux parents d’enfants gravement malades).",Employment Insurance (EI) Act,Loi sur l'assurance-emploi,Employment Insurance,Assurance-emploi,"ES,PP",Y,Y,Y,Y,Y,Y,N,esdc-edsc,2017-2018,4,7,https://www.canada.ca/en/services/benefits/ei.html,https://www.canada.ca/en/services/benefits/ei.html,33-001-BGO01,N,Y,2772567,33660000,25586963,6271,0,0,9407,"EML,IP,ONL,TEL","17,664 Applications were handled by telephone, not a category provided
Regarding Service Standard 4.2 of the Service Standard & Performance Results dataset:   Payment Accuracy Reviews (PAAR) are completed to identify undetected errors that may result in mis-payments (overpayments and underpayments). The business volumes are financially-based ($).
Regarding Service Standard 4.3 of the Service Standard & Performance Results dataset: The service target for calls (row 11), provided in column “L” of the service standards tab, is measured on an annual basis. Although we can provide performance data per quarter (see columns “O”, “Q”, “S” and “U” under the service standards tab), the annual target accommodates for quarterly fluctuations. Performance may therefore be misrepresentative when not presented as an aggregate.
Regarding Service Standard & Performance Results dataset, column M: Regarding Real-Time Performance Reporting, while the Department did not provide real-time performance reporting in FY 2017-18, real-time results for the Department’s main statutory programs are expected to be published on line beginning in Q4 2018-19.",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-04,esdc-edsc - 03,esdc-edsc - Employment Insurance (EI) Benefits,
Employment Insurance Premium Reduction,Réduction du taux de cotisation à l’assurance-emploi,EX,RES,Provides reduced EI premium rates to employers who provide their employees with an eligible short-term disability plan.,Prévoit une diminution des taux de cotisation à l'assurance-emploi aux employeurs qui offrent un régime d'invalidité à court terme à leurs employés.,Section 69 of the Employment Insurance Act and Part III of the Employment Insurance Regulations,Article 69 de la Loi sur l'assurance-emploi et partie III du Règlement sur l'assurance-emploi,Employment Insurance,Assurance-emploi,ES,Y,N,NA,NA,NA,NA,NA,esdc-edsc,2017-2018,5,2,https://www.canada.ca/en/employment-social-development/programs/ei/ei-list/ei-employers/premium-reduction-program.html,https://www.canada.ca/fr/emploi-developpement-social/programmes/assurance-emploi/ae-liste/assurance-emploi-employeur/reduction-taux-cotisation.html,33-001-BGO01,N,NA,0,59000,6435,0,0,0,1257,NONE,,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-05,esdc-edsc - 04,esdc-edsc - Employment Insurance Premium Reduction,
Supplemental Unemployment Benefit,Prestations supplémentaires de chômage,EX,RES,"Registers Supplemental Unemployment Benefits programs offered by employers. Employers must register their SUB plan before the implementation date of the plan, so that payments do not reduce the amount of an employee's EI benefits due to a period of unemployment due to temporary shortage of work, training, illness, injury or quarantine.","Enregistre les programmes de prestations supplémentaires de chômage offerts par les employeurs. Les employeurs doivent inscrire leur plan de prestations supplémentaires de chômage avant la date de mise en œuvre du plan afin que les versements ne réduisent pas le montant des prestations d'assurance-emploi des employés en raison d'une période de chômage occasionnée par un manque de travail, une formation, une maladie, une blessure ou une mise en quarantaine.",Section 37 of the Employment Insurance Regulations,Article 37 du Règlement sur l'assurance-emploi,Employment Insurance,Assurance-emploi,ES,Y,NA,NA,NA,NA,NA,NA,esdc-edsc,2017-2018,6,2,https://www.canada.ca/en/employment-social-development/programs/ei/ei-list/ei-employers-supplemental-unemployment-benefit.html,https://www.canada.ca/fr/emploi-developpement-social/programmes/assurance-emploi/ae-liste/assurance-emploi-employeurs-supplement-chomage.html,33-001-BGO01,N,Y,0,46000,2220,0,0,0,1181,NONE,,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-06,esdc-edsc - 05,esdc-edsc - Supplemental Unemployment Benefit,
General Inquiry and Referral Telephone Service  (1-800 O Canada),Demande de renseignements généraux et service d’aiguillage par téléphone (1-800 O Canada),EX,AD,"Provides quick access to information and support regarding ESDC, GC and other programs and services via 1-800 O Canada.","Offre un accès rapide à de l'information et à de l'aide concernant les programmes et services d'EDSC, du gouvernement du Canada et d'autres programmes et services par l'entremise du 1 800 O-Canada.","PAPS Transfer from PWGSC to ESDC
- Order-In-Council Number: 2005-1637",Transfert du SPAP de TPSGC à EDSC - Décret no : 2005-1637,Government of Canada Telephone General Enquiries Services,Services téléphoniques de renseignements généraux du gouvernement du Canada,"ES,PP",NA,NA,NA,NA,NA,NA,Y,esdc-edsc,2017-2018,7,7,https://www.canada.ca/en/contact/contact-1-800-o-canada.html,https://www.canada.ca/fr/contact/communiquez-avec-1-800-o-canada.html,33-001-BGQ01,N,NA,0,0,1655975,0,0,0,0,TEL,"
""Number of telephone calls received"" includes all types of medium (calls, emails, fax, etc.)
Figure is for 1 800 O-Canada and CIS combined : 1 800 O-Canada only is 1,658,680 all medium and total number of calls only is  1,655,975 - recommend to change to this number.
**************************
Feedback to the 1 800 O-Canada program is collected directly by the service itself over the phone.
In addition, feedback for all ESDC services is also possible through the Office for Client Satisfaction. The Office for Client Satisfaction (OCS) is a neutral organization that receives, reviews and responds to suggestions, compliments and complaints about Service Canada’s delivery of services.  OCS can receive feedback through an online web form, telephone, TTY, fax, and mail.",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-07,esdc-edsc - 06,esdc-edsc - General Inquiry and Referral Telephone Service  (1-800 O Canada),
Canadian Passport,Passeport canadien,EX,REG,"As mandated by the Canadian Passport Order, responsibilities of the Passport Program include issuing, refusing to issue, revoking, withholding, recovering, and providing instructions on the use of Canadian passports. The Minister of Immigration, Refugees and Citizenship Canada has authority over the Passport Program mandate and has authorized the Minister of ESDC to exercise specified administrative powers. ESDC, through Service Canada, is responsible for passport service delivery in Canada, giving Canadians broad access to passport services across the country.","Conformément au Décret sur les passeports canadiens, les responsabilités des services de passeport comprennent ce qui suit : délivrer, refuser de délivrer, révoquer, retenir et récupérer des passeports en plus de fournir des directives sur l'utilisation des passeports canadiens. Le ministre de l'Immigration, des Réfugiés et de la Citoyenneté détient le pouvoir concernant le mandat du programme des passeports et a autorisé le ministre d'EDSC à exercer certains pouvoirs administratifs. EDSC, par l'entremise de Service Canada, est chargé de la prestation des services de passeport au Canada en offrant un vaste accès aux services de passeport aux Canadiens partout au pays.",Canadian Passport Order,Décret sur les passeports canadiens,Passport,Passeport,PP,NA,N,N,N,N,N,Y,esdc-edsc,2017-2018,9,7,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports.html,https://www.canada.ca/fr/immigration-refugies-citoyennete/services/passeports-canadiens.html,33-001-BGQ04,Y,NA,0,0,1586863,3000290,0,0,1693068,"EML,FAX,IP,ONL,POST,TEL","Volumes: Applications Submitted via Postal Mail breakdown:
701,783 (Mail), 991,285 (Receiving Agent)",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-09,esdc-edsc - 08,esdc-edsc - Canadian Passport,
Office for Client Satisfaction,Bureau de la satisfaction des clients,EX,AD,"The Office for Client Satisfaction (OCS) receives, reviews, and acts on client comments, compliments, complaints and suggestions about the quality of services and service interactions received from Service Canada. It also produces reports and analsis of feedback collected from clients on service improvements.","Les employés du Bureau de la satisfaction des clients (BSC) reçoivent et examinent les commentaires, les compliments, les plaintes et les suggestions des clients à l'égard de la qualité des services de Service Canada et des interactions entourant les services reçus, et ils prennent les mesures requises, le cas échéant. Ils rédigent également des rapports et analysent les commentaires reçus des clients sur les améliorations à apporter en matière de service.","Departmental Authority -  originally, OCS was a required component of Service Canada Initiative.",Autorisation du Ministère. Le BSC a déjà constitué un élément obligatoire de l'initative de Service Canada.,NA,SO,PP,NA,NA,NA,NA,NA,NA,Y,esdc-edsc,2017-2018,11,8,https://www.canada.ca/en/employment-social-development/corporate/service-canada/client-satisfaction.html,https://www.canada.ca/fr/emploi-developpement-social/ministere/service-canada/bureau-satisfaction.html,NA,N,Y,1543,0,3443,0,0,39,52,"FAX,ONL,TEL","The Office for Client Satisfaction receives comments, compliments and complaints.  The numbers representing ""Applications"" are in fact the number of contacts the OCS received.
Number of Applications Submitted Online
Number of Telephone Calls Received
Number of Applications Submitted In-Person
Number of Applications Submitted via Fax
Number of Applications Submitted via Postal Mail",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-11,esdc-edsc - 09,esdc-edsc - Office for Client Satisfaction,
In Person Awareness Building and Information Service,Service de renseignements en personne,EX,AD,"Provides in person information and service through a network of 320 full-time and part-time Service Canada Centres (SCCs), 237 scheduled outreach (SO) sites and 32 offices offering passport services only (as of October 2018).","Fournit des services et des renseignements en personne par l’entremise d’un réseau regroupant 320 Centres Service Canada (CSC) à temps plein et à temps partiel, 237 sites de services mobiles réguliers et  32 bureaux offrant seulement des services de passeport (en date d'octobre 2018).",Department of Employment and Social Development Act,Loi sur le ministère de l’Emploi et du Développement social,In-person Points of Service,Points de service en personne,"ES,PP",NA,NA,NA,NA,NA,NA,Y,esdc-edsc,2017-2018,10,6,https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,https://www.canada.ca/fr/emploi-developpement-social/ministere/portefeuille/service-canada.html,33-001-BGQ03,N,Y,0,0,0,12000290,0,0,0,"IP,TEL",Volumes: In-person volume represents number of in-person visits.,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-10,esdc-edsc - 10,esdc-edsc - In Person Awareness Building and Information Service,
Administration of Grants and Contributions (Gs&Cs) for Employment and Social Development Programs,Administration des subventions et contributions (S et C) pour les programmes d’Emploi et Développement social,EX,RES,"Gs&Cs are transfer payments made to not-for profit, community-based organizations, individuals and to the private and public sectors, which support the activities of those groups, and which also help to fulfill the department’s mandate. 
(Excludes Apprenticeship Grants and other Grants and Contributions that are shown separately in the service inventory.)","Les subventions et les contributions sont des paiements de transfert faits à des organismes communautaires à but non lucratif, à des personnes et aux secteurs public et privé qui appuient les activités de ces groupes et qui aident aussi le Ministère à remplir son mandat. (Cela exclut les subventions  aux apprentis et les autres subventions et contributions qui sont présentées séparément dans le répertoire des services.)",Department of Employment and Social Development Act;  Employment Insurance Act (Part II),Loi sur le ministère de l’Emploi et du Développement social et Loi sur l’assurance-emploi (Partie II),Administration of Grants and Contributions (Gs&Cs) for Employment and Social Development Programs,Administration des subventions et contributions (S et C) pour les programmes d’Emploi et Développement social,"ES,IG,IO,PTC",Y,Y,Y,Y,Y,Y,Y,esdc-edsc,2017-2018,14,4,https://www.canada.ca/en/employment-social-development/services/funding.html,https://www.canada.ca/fr/emploi-developpement-social/services/financement.html,"33-001-BGM01-05, 07
33-001-BGO04, 06-13, 15, 16",N,Y,38474,72584,0,0,0,0,12505,"EML,IP,ONL,TEL","Regarding clients being given the opportunity to provide feedback: PHONE (Program Delivery Agent, 1 800 O-Canada (YES))",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-14,esdc-edsc - 11,esdc-edsc - Administration of Grants and Contributions (Gs&Cs) for Employment and Social Development Programs,
Provision of a Social Insurance Number,Émission d’un numéro d’assurance sociale,EX,RES,Manages the confirmation/validation of Departmentally (Government of Canada) mandated credential such as the Social Insurance Number for all clients and partners to support the delivery of ESDC services.,"Gère la confirmation et la validation des justificatifs d'identité dont le Ministère (gouvernement du Canada) est responsable, comme le numéro d'assurance sociale pour tous les clients et les partenaires dans le but de soutenir la prestation des services d'EDSC.","The program is governed by sections 28.1 to 28.4 of the Department of Employment and Social Development Act and sections 138, 139 and 140 of the EI Act; and sections 1 to 14 of the Social Insurance Number Regulations and subsections 89(1) to 89(6) of the EI Regulations.","Le programme est régi par les articles 28.1 à 28,4 de la Loi sur le ministère de l’Emploi et du Développement social; les articles 138, 139 et 140 de la Loi sur l’assurance-emploi; les articles 1 à 14 du Règlement sur le Régime de pensions du Canada et les paragraphes 89 (1) à 89 (6) du Règlement sur l’assurance-emploi.",NA,SO,PP,NA,Y,N,Y,N,N,N,esdc-edsc,2017-2018,16,7,http://esdc.prv/en/service-canada/isb/sin/index.shtml,http://esdc.prv/fr/service-canada/dgsi/nas/index.shtml,NA,N,NA,0,0,0,1300000,0,0,7000,"EML,FAX,IP,ONL,POST,TEL",,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-16,esdc-edsc - 16,esdc-edsc - Labour Market Impact Assessment,
Job Bank - Find a Job,Guichet-Emplois– Trouver un emploi,EX,AD,"Provides a free and bilingual online job board, delivered in collaboration with all provinces and territories, to provide timely and relevant labour market information on employment opportunities across Canada to help job seekers find suitable employment.","Fournit un site d'emplois en ligne gratuit et bilingue, mis en œuvre en collaboration avec toutes les provinces et tous les territoires, afin d'offrir de l'information pertinente et à jour concernant les possibilités d'emploi dans l'ensemble du Canada et ainsi aider les chercheurs d'emploi à trouver un travail qui leur convient.","EI Act subsections 60 (1) and (2); section 58, subsection C of the National Employment Service (Employment Insurance Regulations)",Paragraphes 60 (1) et 60 (2) de la Loi sur l’assurance-emploi; l’alinéa 58c) du Service national de placement (Règlement sur l’assurance-emploi),Job Bank,Guichet-Emplois,"IO,PP,PTC",NA,NA,NA,NA,NA,NA,Y,esdc-edsc,2017-2018,17,4,www.jobbank.gc.ca,https://www.guichetemplois.gc.ca/,33-001-BGO05,N,Y,385000,52000000,0,0,0,0,0,"EML,ONL,TEL","Volumes: Number of applications submitted online figure represents 147,000 new job seeker profiles + 238,000 new Job Alert subscriptions
Regarding service standard quarterly performance results and business volumes - Unable to track quarterly website visits therefore 52,000,000 annual visits was divided by 4 in each quarter",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-17,esdc-edsc - 14,esdc-edsc - Job Bank - Find a Job,
Labour Market Information,Information sur le marché du travail,EX,AD,"Provides online labour market information that includes a variety of economic, labour market and demographic reports, including occupational profiles and projections. The labour market information can assist with finding job opportunities in different regions across Canada; identify potential employers in a specific region in Canada; research career choices or occupations of interest; and research employment conditions and current wage ranges for various occupations.","Donne de l'information en ligne sur le marché du travail, notamment divers rapports sur l’économie, la démographie et le marché du travail, ainsi que des projections et des profils de profession. L'information sur le marché du travail peut aider à trouver des possibilités d'emploi dans différentes régions du Canada, à cibler des employeurs possibles dans une région précise du Canada, à trouver des choix de carrière ou des professions d'intérêt, et à faire des recherches au sujet des conditions d'emploi et des échelles salariales en vigueur pour diverses professions.",EI Act - National Employment Service,Loi sur l’assurance emploi – Service national de placement,Job Bank,Guichet-Emplois,"ES,IO,PP,PTC",NA,NA,NA,NA,NA,NA,NA,esdc-edsc,2017-2018,21,8,https://www.jobbank.gc.ca/explorecareers,https://www.guichetemplois.gc.ca/explorercarrieres,33-001-BGO05,N,NA,0,2788955,0,0,0,0,0,"EML,ONL","**NOTE:  Service item 45(112) LMI - 
  Total number of visit on LMI section of the Job Bank website : 2,788,955
 Total NOC site 21,651,391 page views (includes Career Handbook) 
  Total number of email responses sent from the LMI and NOC inbox: 4111
Regarding service standard quarterly performance results and business volumes - Steady of stream of enquiries across 4 quarters",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-21,esdc-edsc - 17,esdc-edsc - Labour Market Information,
Work Reduction Support Payment (Work-Sharing),Paiement de soutien pour la réduction des heures de travail (travail partagé),EX,RES,Provides income support to employees eligible for Employment Insurance benefits who work a temporarily reduced work week while their employer recovers.  This is an adjustment program designed to help employers and employees avoid layoffs when there is a temporary reduction in the normal level of business activity that is beyond the control of the employer.,Fournit un soutien du revenu aux employés admissibles aux prestations d’assurance-emploi qui réduisent temporairement leur semaine de travail pendant la période de redressement de l’entreprise.  Ce programme d’adaptation aide les employeurs et les employés à éviter les mises à pied à la suite d’une diminution temporaire du niveau d’activité normale de l’entreprise pour des raisons qui sont indépendantes de la volonté de l’employeur.,"WS operates under the authority of section 24 of the Employment Insurance Act, and sections 42-49 of the EI Regulations.",Le travail partagé relève de l’article 24 de la Loi sur l’assurance-emploi et des articles 42 à 49 du Règlement sur l’assurance-emploi.,Employment Insurance,Assurance-emploi,ES,Y,N,N,N,N,N,N,esdc-edsc,2017-2018,15,8,https://www.canada.ca/en/employment-social-development/services/work-sharing.html,https://www.canada.ca/fr/emploi-developpement-social/services/travail-partage.html,33-001-BGO01,N,NA,0,81051,1076,0,0,0,0,"EML,TEL",,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-15,esdc-edsc - 18,esdc-edsc - Work Reduction Support Payment (Work-Sharing),
Canada Apprenticeship Grants,Subventions aux apprentis du Canada,EX,RES,"Provides up to a maximum lifetime amount of $4,000 per person in federal apprenticeship taxable cash grants to help progress in or complete apprenticeship training.  There are two types of grants: The Apprenticeship Incentive Grant (AIG) is a taxable cash grant of $1,000 per year or level, for a lifetime maximum amount of $2,000 per person; and The Apprenticeship Completion Grant (ACG) which is a one-time taxable cash grant lifetime amount of $2,000 per person for registered apprentices who complete their apprenticeship training and obtain their journeyperson certification.","Verse un montant maximal à vie de 4000 $ par personne en subventions fédérales en espèces imposables afin d'aider les apprentis dans l'avancement ou l'achèvement de leur formation. Il y a deux types de subventions : la Subvention incitative aux apprentis, qui est une subvention en espèces imposable de 1000 $ par année ou niveau, pour un montant maximal de 2000 $ par personne, et la Subvention à l’achèvement de la formation d’apprenti qui est une subvention unique en espèces imposable d'un montant de 2000 $ par personne offerte aux apprentis inscrits qui achèvent leur formation en apprentissage et qui obtiennent un certificat de compagnon.",Department of Employment and Social Development Act,Loi sur le ministère de l’Emploi et du Développement social,Apprenticeship Grants,Subvention aux apprentis,PP,NA,NA,N,Y,N,N,N,esdc-edsc,2017-2018,20,2,https://www.canada.ca/en/employment-social-development/services/apprentices/grants.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_apprenticeship-grants,https://www.canada.ca/fr/emploi-developpement-social/services/financement/achevement-apprenti-presenter-demande.html,33-001-BGO20,N,Y,73567,533000,51723,1993,0,0,14924,NONE,,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-20,esdc-edsc - 19,esdc-edsc - Canada Apprenticeship Grants,
Financial Support for Parents of Missing and Murdered Children,Aide financière aux parents d’enfants disparus ou assassinés,EX,RES,"Provides income support to applicants who have suffered a loss of income from taking time away from work to cope with the death or disappearance of their child or children, as a result of a probable Criminal Code offence.",Offre un soutien du revenu aux personnes admissibles qui ont subi une perte de revenus parce qu’ils se sont absentés du travail pour composer avec le décès ou la disparition de leur enfant (ou enfants) par suite d’une probable infraction au Code criminel.,"Department of Employment and  Social Development Act, Canada Labour Code","Loi sur le ministère de l’Emploi et du Développement social, Code canadien du travail",Federal Income Support for Parents of Murdered or Missing Children,Soutien du revenu pour les parents d'enfants assassinés ou disparus,PP,NA,NA,NA,Y,N,N,NA,esdc-edsc,2017-2018,19,2,https://www.canada.ca/en/employment-social-development/services/parents-young-victims-crime.html,https://www.canada.ca/fr/emploi-developpement-social/services/parents-jeunes-victimes-crimes.html,33-001-BGM06,N,Y,3,6000,68,0,0,0,10,TEL,,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-19,esdc-edsc - 20,esdc-edsc - Financial Support for Parents of Missing and Murdered Children,
Canada Student Grants and Canada Student Loans,Programme canadien de bourses aux étudiants et Programme canadien de prêts aux étudiants,EX,RES,"In collaboration with participating provinces and territories, provide repayable loans and non-repayable grants to help Canadian students pay for their post-secondary education.","En collaboration avec les provinces et les territoires participants, offre des prêts remboursables et des subventions non remboursables pour aider les étudiants du Canada à payer leurs études postsecondaires.","Canada Student Financial Assistance Act and Regulations, and the Canada Student Loans Act and Regulations","Loi fédérale sur l’aide financière aux étudiants et son Règlement, et Loi fédérale sur les prêts aux étudiants et son Règlement",Canada Student Loans and Grants and Canada Apprentice Loans Program,Programme canadien de prêts et bourses aux étudiants et Programme de prêts canadiens aux apprentis,PP,NA,Y,Y,Y,Y,Y,Y,esdc-edsc,2017-2018,22,7,https://csnpe-nslsc.cibletudes-canlearn.ca/Eng/Default.aspx,https://csnpe-nslsc.cibletudes-canlearn.ca/fra/Pardefaut.aspx,33-001-BGO17,N,Y,497694,9390000,1795872,0,0,0,26355,"EML,TEL","Student loan application function is performed by the participating provinces and territories on behalf of the federal government. Clients can apply online  for some CSLP sub-activities, one of them being the CSLP's Repayment Assistance Plan, RAP, through the online National Student Loan Service Centre (NSLSC) portal.",Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-22,esdc-edsc - 21,esdc-edsc - Canada Student Grants and Canada Student Loans,
Canada Apprentice Loans,Prêt canadien aux apprentis,EX,RES,"Provides up to $4,000 in interest-free loans per period of technical training. The loan can be used to help pay for tuition, tools, equipment and living expenses, to cover forgone wages or to help support your family.","Offre des prêts sans intérêt d'un maximum de 4 000 $ par période de formation technique. Le prêt peut être utilisé pour payer les frais de scolarité, les outils, l’équipement et les frais de subsistance, pour couvrir les salaires perdus ou pour aider votre famille.",Apprentice Loans Act; the Apprentice Loans Regulations; and the Canada Student Financial Assistance Regulations,"Loi sur les prêts aux apprentis, le Règlement sur les prêts aux apprentis et le Règlement fédéral sur l’aide financière aux étudiants",Canada Student Loans and Grants and Canada Apprentice Loans Program,Programme canadien de prêts et bourses aux étudiants et Programme de prêts canadiens aux apprentis,PP,NA,Y,N,Y,Y,Y,Y,esdc-edsc,2017-2018,23,7,https://www.pca-cal.ca/en/Home,https://www.pca-cal.ca/fr/Accueil,33-001-BGO17,N,Y,16589,0,27280,0,0,0,183,"EML,TEL",,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-23,esdc-edsc - 22,esdc-edsc - Canada Apprentice Loans,
Canada Education Savings Grant and the Canada Learning Bond,Subvention canadienne pour l’épargne-études et Bon d’études canadien,EX,AD,"ESDC’s role in this service is as an information provider. ESDC provides Tier 1 service through 1-800 O-Canada and provides Tier 2 Service through the Canada Education Savings Program, so that individuals and organizations can inquire about the Canada Education Savings Grant (CESG) and the Canada Learning Bond (CLB) and obtain related information","Dans le cadre de ce service, EDSC agit comme un fournisseur d'information. EDSC offre des services de premier palier par l'entremise du 1-800 O-Canada et de second palier par l'entremise du Programme canadien pour l’épargne-études. Les particuliers et les organisations peuvent ainsi demander des renseignements sur la Subvention canadienne pour l’épargne-études (SCEE) et le Bon d'études canadien (BEC) afin d'obtenir de l'information connexe.",Canada Education Savings Act and Canada Education Savings Regulations,Loi canadienne sur l’épargne-études et Règlement canadien sur l’épargne-études,Canada Education Savings Program,Programme canadien pour l'épargne-études,PP,Y,NA,NA,NA,NA,NA,Y,esdc-edsc,2017-2018,24,8,https://www.canada.ca/en/employment-social-development/corporate/transparency/service-standards-2017-2018.html#s4,https://www.canada.ca/fr/emploi-developpement-social/ministere/transparence/normes-service-2017-2018.html#s14,33-001-BGO18,N,Y,0,0,34397,0,0,0,0,NONE,,Employment and Social Development Canada | Emploi et Développement social Canada,2017-2018-esdc-edsc-24,esdc-edsc - 23,esdc-edsc - Canada Education Savings Grant and the Canada Learning Bond,
